match_id,match_name,days_from_match,articles
arsenal_psg_20260312,Arsenal vs PSG,77.0,2
arsenal_psg_20260312,Arsenal vs PSG,78.0,6
arsenal_psg_20260312,Arsenal vs PSG,79.0,77
arsenal_psg_20260312,Arsenal vs PSG,80.0,15
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-1226.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-745.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-744.0,2
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-723.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-722.0,5
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-484.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-186.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-178.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-147.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-146.0,8
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-101.0,2
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-100.0,7
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-99.0,25
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-98.0,8
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-97.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-56.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-54.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-50.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-45.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-34.0,2
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-23.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-21.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-20.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-15.0,2
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-13.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-10.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-9.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-8.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,-5.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,15.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,22.0,2
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,34.0,3
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,40.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,42.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,54.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,59.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,61.0,5
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,85.0,1
atletico_madrid_inter_20260305,Atlético Madrid vs Inter Milan,86.0,3
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-170.0,2
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-169.0,2
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-168.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-19.0,3
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-13.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-11.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-10.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-9.0,13
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-8.0,22
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-7.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-2.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,-1.0,9
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,0.0,29
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,1.0,4
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,2.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,15.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,70.0,1
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,73.0,4
liverpool_galatasaray_20260318,Liverpool vs Galatasaray,74.0,1
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-393.0,2
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-385.0,2
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-91.0,4
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-14.0,1
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-12.0,5
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-10.0,1
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-5.0,1
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-3.0,1
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-2.0,4
real_madrid_man_city_20260311,Real Madrid vs Manchester City,-1.0,4
real_madrid_man_city_20260311,Real Madrid vs Manchester City,0.0,14
real_madrid_man_city_20260311,Real Madrid vs Manchester City,1.0,1
real_madrid_man_city_20260311,Real Madrid vs Manchester City,4.0,5
real_madrid_man_city_20260311,Real Madrid vs Manchester City,5.0,6
real_madrid_man_city_20260311,Real Madrid vs Manchester City,6.0,11
real_madrid_man_city_20260311,Real Madrid vs Manchester City,77.0,2
real_madrid_man_city_20260311,Real Madrid vs Manchester City,78.0,15
real_madrid_man_city_20260311,Real Madrid vs Manchester City,79.0,8
real_madrid_man_city_20260311,Real Madrid vs Manchester City,80.0,10
real_madrid_man_city_20260311,Real Madrid vs Manchester City,81.0,2
